PROJECT TIMELINE,,,,,,,,,,,,,,
,,,,,,,{42},,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Project Start,1/20/25,,,columns used to create the chart,,,,,,,,,
CATEGORY,TASK,START,END,COLOR,Start,Blue,Red,Green,Brown,Orange,Purple,,,
Design Phase,Figma Prototyping,"Week 1, Day 1","Week 1, Day 5",Blue,,,,,,,,,,
Design Phase,Wireframing for Limkar Ecom,,,Red,1/0/00,0,0,0,0,0,0,,,
Design Phase,Design Review & Feedback,3/22/2025,4/5/2025,Green,3/22/25,0,0,15,0,0,0,,,
Design Phase,Finalize Design & Wireframes,3/22/2025,4/10/2025,Brown,3/22/25,0,0,0,20,0,0,,,
Development Phase,Database Design,11/25/2024,11/29/2024,Orange,11/25/24,0,0,0,0,5,0,,,
Development Phase,User Management,1/20/2025,4/3/2025,Purple,1/20/25,0,0,0,0,0,74,,,
Development Phase,Product Management,2/3/2025,3/10/2025,Blue,2/3/25,36,0,0,0,0,0,,,
Development Phase,Cart Functionality,3/24/2025,4/29/2025,Red,3/24/25,0,37,0,0,0,0,,,
Development Phase,Checkout & Order Management,3/10/2025,3/26/2025,Green,3/10/25,0,0,17,0,0,0,,,
Development Phase,Payment Integration,3/25/2025,3/26/2025,Brown,3/25/25,0,0,0,2,0,0,,,
Development Phase,Backend Administration,3/17/2025,3/24/2025,Orange,3/17/25,0,0,0,0,8,0,,,
Development Phase,Notifications & Email System,3/10/2025,3/27/2025,Orange,1/0/00,0,0,0,0,18,0,,,
Frontend Development,Product Management UI,,,Purple,1/0/00,0,0,0,0,0,0,,,
Frontend Development,Checkcout & Order Management UI,,,Blue,1/0/00,0,0,0,0,0,0,,,
Testing Phase,Unit Testing,4/1/2025,4/4/2025,Red,4/1/25,0,4,0,0,0,0,,,
Testing Phase,Integration Testing,4/7/2025,4/9/2025,Green,4/7/25,0,0,3,0,0,0,,,
Testing Phase,UAT Testing & Feedback,,,Brown,1/0/00,0,0,0,0,0,0,,,
Deployment Phase,Production Server Setup,,,Orange,1/0/00,0,0,0,0,0,0,,,
Deployment Phase,Deployment to Production,,,Purple,1/0/00,0,0,0,0,0,0,,,
Post-Deployment,System Monitoring,,,Blue,1/0/00,0,0,0,0,0,0,,,
Other,Economic Analysis,,,Purple,1/0/00,0,0,0,0,0,0,,,
,Legal / Regulatory,,,Purple,1/0/00,0,0,0,0,0,0,,,
,Sales Plan / Train,,,Purple,1/0/00,0,0,0,0,0,0,,,
,,Insert new rows above this one,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,MILESTONE LABEL,DATE,"Margin
Bottom","Margin
Top",,,,,,,,,,
,Milestone 1,10/17/24,50%,95%,,,,,,,,,,
,Milestone 2,4/17/25,25%,95%,,,,,,,,,,
,Milestone 3,,10%,95%,,,,,,,,,,
,Milestone 4,,30%,95%,,,,,,,,,,
